ds,yhat,yhat_lower,yhat_upper
1999-11-01,99.58542347013507,27.50358600927382,168.54398247517446
1999-11-02,99.00774815338892,31.170016156201655,166.09365556165397
1999-11-03,98.30257767499037,30.20728584257567,167.553916288161
1999-11-04,98.46706863427316,36.75529103947877,166.56422535010154
1999-11-05,97.6340920019327,28.935625376031446,164.1303597706262
1999-11-08,96.37209106476615,27.041903528551774,167.7165884159105
1999-11-09,95.70422661147792,26.14122885560391,159.70108908895392
1999-11-10,94.97672048747782,29.775264648340617,161.19297219905758
1999-11-11,95.18872160891738,28.40444351760065,161.48764670660756
1999-11-12,94.47310914810883,24.675869928066124,163.7625745274604
1999-11-15,93.95266054209695,27.363309546600302,157.42842628835754
1999-11-16,93.64254856632684,27.007497047374578,161.21468401512269
1999-11-17,93.31430769072172,33.59499049953668,164.43315895197003
1999-11-18,93.95679889192807,24.148918324732403,162.9775303435297
1999-11-19,93.69165038074749,19.163440550550224,161.96688413478427
1999-11-22,94.52232127133621,26.941960266535208,162.82797745231684
1999-11-23,94.62233479009326,27.550697589389337,167.00163368065972
1999-11-24,94.66517380571123,27.651620524916712,158.646421730622
1999-11-26,95.62903726536746,32.22670476730549,164.73716369616605
1999-11-29,96.8462997000359,36.45491308265953,169.8865627080736
1999-11-30,96.92882405113752,30.89352788193165,165.74875713202883
1999-12-01,96.88073118888977,28.029916211456847,162.42532077142008
1999-12-02,97.68386373958529,31.135771210294898,164.96757570205875
1999-12-03,97.45615559014195,24.382661852175012,160.46965315231114
1999-12-06,97.67442117760208,32.61585599155322,160.0951584911474
1999-12-07,97.35027925188903,34.22507468000924,165.6518621060047
1999-12-08,96.87743244323855,31.958238717523123,162.66521287818725
1999-12-09,97.24983743679938,25.870363009860014,166.98913686606392
1999-12-10,96.59762861253189,25.348148727702142,161.2608962259651
1999-12-13,95.6955966369182,28.628070451313015,160.15102991883728
1999-12-14,95.08329433978923,21.103105373697062,161.55052185600735
1999-12-15,94.3787662911676,29.069118358987694,157.38838320344132
1999-12-16,94.58179437857818,26.297342711482184,159.20777212776682
1999-12-17,93.8264237636231,30.88793993090139,166.6773824822782
1999-12-20,93.02065591335429,21.57382693142872,158.63542235116094
1999-12-21,92.56822094148107,20.089653501543662,150.95728077825888
1999-12-22,92.07881929045845,29.465250965441903,158.53468921040437
1999-12-23,92.54443188771441,32.09921757026963,158.8610796959696
1999-12-27,92.30797317338148,26.11024655122713,160.69092126673107
1999-12-28,92.19855344471442,27.850796196050894,161.33187109167272
1999-12-29,92.03347666708103,22.568081680510478,159.43442592561146
1999-12-30,92.79364623934337,26.067849365888275,161.96194486576317
1999-12-31,92.59370905815024,26.32297841258722,158.31694251205343
2000-01-03,93.25468665346934,28.30088346980028,159.09076998462157
2000-01-04,93.16715869480136,26.856530892900288,165.6611435609059
2000-01-05,92.95659240978112,30.393709846053824,161.20409035317334
2000-01-06,93.60430604830414,27.6957546893725,158.27778730568215
2000-01-07,93.22747353903169,28.66773134463493,159.88241650989355
2000-01-10,93.02632185068349,26.807827485359923,155.71936110308553
2000-01-11,92.56816588818396,23.971844108905415,163.2612351127597
2000-01-12,91.96255597083892,27.739349566916403,153.5646695312391
2000-01-13,92.20267607695631,22.65406940786111,156.09047626167973
2000-01-14,91.41811726866027,26.287572574869944,162.05080681285
2000-01-18,89.37349651005655,20.55923643023244,154.62692831270996
2000-01-19,88.53918699144255,20.673918028867746,152.81946108389934
2000-01-20,88.61603874202679,25.61887755070664,157.84107071052452
2000-01-21,87.73995332846502,21.333609579640864,157.62966443057397
2000-01-24,86.62753599554003,20.09447773669131,152.4328882707084
2000-01-25,86.09993249076844,18.515948462644545,155.47666814137364
2000-01-26,85.55339512520365,18.31904406137006,154.41184923613994
2000-01-27,85.98257771369134,17.670959063220984,156.15179960339023
2000-01-28,85.51481314187376,16.577445209748525,158.50406646139524
2000-01-31,85.8539678312173,10.504991384475,155.36385118357867
2000-02-01,85.84358636069634,17.121277383307117,152.70573902958003
2000-02-02,85.80823959465421,22.598975163638045,150.30967036440418
2000-02-03,86.72877761879332,16.9414899691921,158.96996054644796
2000-02-04,86.71916025641224,18.81370906838046,150.6908054331828
2000-02-07,88.11408703548553,23.285456842215435,153.8611565928176
2000-02-08,88.31673119177795,19.234045132617283,153.58478526243968
2000-02-09,88.41318373265283,25.836892832601105,160.7962207011743
2000-02-10,89.38042027265743,15.232739508586578,157.01630384301905
2000-02-11,89.33084793437614,15.752551883861512,157.54122322603308
2000-02-14,90.10592311548744,20.758301744876558,157.29443483410813
2000-02-15,89.95334172091562,24.97138232736629,160.4499345112254
2000-02-16,89.63448939698003,21.02889721548105,156.0756985885706
2000-02-17,90.13752550615307,20.388382332555025,158.93914571075072
2000-02-18,89.58739778628265,22.90387622410249,158.77428280524464
2000-02-22,88.12229425292949,23.893288532212235,159.228966861869
2000-02-23,87.33114582023845,20.11553193804091,155.69022644301074
2000-02-24,87.4084643192187,22.300789094331456,157.93725124077127
2000-02-25,86.49069665542793,19.492694040648146,159.9157463749676
2000-02-28,85.0192286861384,21.143572371856635,149.4537743632495
2000-02-29,84.30448354741245,17.700413051717003,150.07014551052166
2000-03-01,83.54425943484684,12.98628431705136,150.04153105323425
2000-03-02,83.73848914158727,17.641617279774913,150.39744517113593
2000-03-03,83.02028080255403,11.987888307621622,146.45621773243346
2000-03-06,82.57768305397,12.613282798059169,154.37170072905576
2000-03-07,82.3180472354814,17.574060539770418,150.822523690731
2000-03-08,82.04966390372388,17.751434396654922,143.77640319438507
